value,emory_probability,mimic_iv_probability,ohsu_probability,rush_probability,ucmc_probability
28.1,,,,0.037828311051884965,
28.4,,,,0.037871297768989384,0.035925692695214104
28.6,,,,,0.035930940386230056
28.8,,,,,0.03593618807724601
28.9,,,,0.03795727120319821,
29.0,0.013920325939339067,0.05788999352240403,0.04912312709525873,0.047500322400378284,0.0455027287993283
29.1,,,0.04914593263244316,0.047543309117482696,0.04550797649034425
29.2,,,,,0.0455132241813602
29.3,,,,,0.045518471872376155
29.8,,,,0.047586295834587115,
30.0,0.02127659574468085,0.07229560368378066,0.05872425824990308,0.05824700167648197,0.05770361041141898
30.5,,,0.0587470637870875,,
30.6,,,,,0.05770885810243493
30.7,,,,0.05828998839358638,
30.9,,,,,0.057719353484466836
31.0,0.031094386600271615,0.08865857436561805,0.06953408287532213,0.07230365816962558,0.07269101595298069
31.1,,,,0.07234664488673,
31.3,,,,,0.07269626364399664
31.4,,,,,0.0727015113350126
31.5,,,,,0.07270675902602855
31.6,,,,0.07238963160383441,
31.7,,,,0.07243261832093884,
32.0,0.04546740606609326,0.10883769397583574,0.0826928778307373,0.08863861066930319,0.09084277917716205
32.1,,,,,0.090848026868178
32.2,,,,,0.09085327455919395
32.3,,,,0.0886815973864076,
32.4,,,,,0.0908585222502099
32.5,,,,,0.09086376994122586
32.6,,,0.08271568336792173,,
32.7,,,0.08273848890510616,,0.09087426532325776
32.8,,,,,0.09087951301427372
33.0,0.06283952014486192,0.13100233756724025,0.09662706105042304,0.10669303185315737,0.1130142737195634
33.1,,,,0.10673601857026178,0.11301952141057935
33.4,,,,0.10677900528736621,
33.7,,,,0.10682199200447062,0.1130247691015953
33.8,,,,,0.11303001679261125
33.9,,,,,0.1130352644836272
34.0,0.08711521050248981,0.15577210127580476,0.11327510319505577,0.12822937712246915,0.14008186397984887
34.1,,,,0.12827236383957358,
34.3,,,,0.12831535055667798,
34.4,,,,0.1283583372737824,0.14008711167086482
34.5,,,,,0.14009235936188077
34.7,,,,0.12840132399088683,
34.8,,,,0.12844431070799123,
35.0,0.11690810321412404,0.18223167262793252,0.1317931993888116,0.15045350986545158,0.16978379513014275
35.1,,,,,0.1697995382031906
35.4,,,,,0.16980478589420656
35.5,,,,0.15049649658255598,
35.6,,,,0.1505824700167648,
35.8,,,0.13181600492599604,,
35.9,,,,,0.1698100335852225
36.0,0.15592462652784064,0.21291576308896837,0.15482679194508428,0.17658943386493572,0.20301217464315702
36.1,,,,,0.20302267002518892
36.2,,,,0.17667540729914458,0.20302791771620488
36.3,,,,,0.20303316540722083
36.4,,,0.1548495974822687,,
36.5,,,,,0.20304890848026869
36.6,,,,,0.20305415617128464
36.7,,,,,0.20306465155331654
36.8,,,0.15487240301945313,0.17671839401624898,
36.9,,,0.15491801409382197,0.1767613807333534,
37.0,0.20130715255771842,0.2443602669896077,0.17836210631941435,0.20130679619997421,0.2403337531486146
37.2,,,,,0.2403442485306465
37.3,,,,,0.24035474391267841
37.4,,,,,0.24036523929471032
37.5,,,,,0.24038098236775818
37.6,,,,,0.24038623005877413
37.7,,,,,0.240401973131822
37.8,,,,0.2013497829170786,0.24041771620486985
37.9,,,,,0.2404229638958858
38.0,0.256507469443187,0.27860703523248936,0.20670938903965883,0.23182736534410867,0.2806989924433249
38.1,,,,0.2319133387783175,0.28071473551637277
38.2,,,,,0.2807199832073887
38.3,,,,,0.2807357262804366
38.4,,,0.20673219457684325,,0.28074097397145253
38.5,,,,,0.2807567170445004
38.6,,,,0.23195632549542192,0.28076721242653235
38.7,,,,0.23199931221252634,0.28077770780856426
38.8,,,0.2067550001140277,0.23204229892963074,0.2807934508816121
38.9,,,,,0.2808144416456759
39.0,0.3196016296966953,0.31369870729715266,0.23514789390864102,0.2623479344882431,0.32448047858942064
39.1,,,,,0.3244857262804366
39.2,,,,0.26243390792245197,
39.3,,,,0.26247689463955637,
39.4,,,0.23517069944582544,,0.32449097397145255
39.5,,,,,0.3244962216624685
39.6,,,,0.26251988135666077,0.32451196473551636
39.7,,,,0.2625628680737652,0.3245172124265323
39.8,,,,0.2626058547908696,0.32453295549958017
39.9,,,,0.26269182822507847,0.3245644416456759
40.0,0.3858080579447714,0.3497901822175909,0.2660037857191726,0.29420109186261445,0.37035054575986565
40.1,,,,,0.3703662888329135
40.2,,,,,0.3703872795969773
40.3,,,,0.29424407857971885,0.3703977749790092
40.4,,,,,0.3704135180520571
40.5,,,0.266026591256357,,
40.6,,,,,0.370424013434089
40.7,,,,,0.37043975650713684
40.8,,,,,0.3704450041981528
40.9,,,0.26604939679354145,,0.3704554995801847
41.0,0.45461747397012225,0.38574083983439883,0.2985928983557208,0.32704294373038734,0.41699202350965575
41.1,,,0.2986157038929052,0.32708593044749174,
41.2,,,,,0.4170182619647355
41.3,,,,,0.4170340050377834
41.4,,,,,0.4170445004198153
41.5,,,,0.32712891716459613,0.41704974811083123
41.6,,,,,0.41707073887489504
41.7,,,,0.32717190388170053,0.417075986565911
41.8,,,,,0.41709172963895885
41.9,,,0.2986385094300896,0.327214890598805,0.4170969773299748
42.0,0.5243605703938433,0.4216351705297547,0.3337134256197405,0.359970769032369,0.46369122586062134
42.1,,,,,0.46370172124265324
42.2,,,,,0.46371221662468515
42.3,,,,0.3600567424665778,0.46373320738874896
42.5,,,,0.3600997291836822,0.46374370277078086
42.6,,,,,0.46378043660789253
42.7,,,,0.36022868933499547,0.46381192275398825
42.8,,,,0.3602716760520999,0.46383291351805206
42.9,,,,0.3603576494863087,0.4638486565910999
43.0,0.590142598460842,0.4562621454924381,0.3676936760245388,0.3935004083738125,0.5105111251049538
43.1,,,,0.3935433950909169,
43.2,,,,0.39367235524223015,0.5105268681780016
43.3,,,,,0.5105688497061293
43.4,,,,,0.510595088161209
43.5,,,,,0.5106108312342569
43.6,,,0.3677164815617232,,
43.7,,,,,0.5106370696893366
43.8,,,,0.39371534195933455,0.5106685558354324
43.9,,,0.36773928709890763,,0.5106895465994962
44.0,0.6516240380262562,0.4908891204551215,0.40461584072612833,0.42629927352448094,0.5539357682619648
44.1,,,,,0.5539620067170445
44.2,,,,0.4263852469586898,0.5539934928631403
44.3,,,,0.4264282336757942,0.5540039882451722
44.4,,,,,0.5540144836272041
44.5,,,,0.4264712203928986,0.5540564651553317
44.6,,,,,0.5540722082283795
44.7,,,,,0.5540879513014274
44.8,,,0.40463864626331275,,0.5541404282115869
44.9,,,0.4046614518004972,0.426514207110003,0.5541666666666667
45.0,0.7077863286555002,0.5240234319993241,0.43859609113092657,0.46000085973434207,0.5955079764903443
45.1,,,,,0.5955237195633921
45.2,,,0.438618896668111,0.4600438464514465,0.5955499580184719
45.3,,,0.4386645077424799,,0.5955761964735516
45.4,,,,0.4600868331685509,0.5955866918555835
45.5,,,,,0.5955919395465995
45.6,,,,0.4601298198856553,0.5956024349286314
45.7,,,,,0.5956129303106633
45.8,,,,,0.5956601595298069
45.9,,,,,0.5956654072208228
46.0,0.758091896785876,0.5563832483735601,0.4728956190563069,0.4904354554442677,0.6325829135180521
46.1,,,,,0.632588161209068
46.2,,,,,0.6326248950461797
46.3,,,,0.49047844216137215,0.6326353904282116
46.4,,,,,0.6326563811922754
46.5,,,0.4729184245934913,,0.6326773719563392
46.6,,,,0.49056441559558095,0.6327141057934509
46.7,,,,,0.6327508396305626
46.8,,,0.47294123013067574,,0.6327875734676742
46.9,,,0.47296403566786016,,0.6328190596137699
47.0,0.8008714350384789,0.5856732475286563,0.5060548701224657,0.5199243433778963,0.6668765743073047
47.1,,,,0.5199673300950006,0.6669028127623845
47.2,,,0.5060776756596501,0.5200533035292094,0.6669290512174643
47.3,,,,,0.6669500419815281
47.4,,,,,0.6669710327455919
47.5,,,0.5061004811968346,,0.6670130142737196
47.6,,,,0.5200962902463139,0.6670287573467675
47.7,,,0.5061232867340191,,0.6670392527287994
47.8,,,,,0.667075986565911
47.9,,,,0.5201392769634183,0.667086481947943
48.0,0.8370869171570846,0.6135973188385389,0.5399667039157108,0.5491982977260027,0.6981160789252728
48.1,,,,,0.6981213266162888
48.2,,,,0.549241284443107,0.6981370696893366
48.3,,,,,0.6981685558354324
48.4,,,,0.549327257877316,0.6981738035264483
48.5,,,,0.5493702445944203,0.6981842989084802
48.6,,,,,0.6982157850545759
48.7,,,,0.5494132313115248,0.6982367758186397
48.8,,,,,0.6982472712006718
48.9,,,0.5399895094528951,0.5494562180286292,0.6982630142737196
49.0,0.8662007695789951,0.6396344382797758,0.5697051244042053,0.5779564114688561,0.7260285474391268
49.1,,,,,0.7260442905121747
49.2,,,,,0.7260495382031906
49.3,,,,,0.7260547858942066
49.4,,,,,0.7260967674223342
49.6,,,,,0.726123005877414
49.7,,,,,0.7261282535684299
49.8,,,,0.5779993981859606,0.7261544920235097
49.9,,,0.5697279299413898,,0.7261649874055416
50.0,0.8920891806247171,0.6653335961923001,0.5993067116695934,0.606026737738039,0.7507556675062972
50.1,,,,,0.7507661628883291
50.2,,,,,0.7507924013434089
50.3,,,,,0.7507976490344248
50.5,,,0.5993295172067779,,0.7508028967254408
50.6,,,,,0.7508186397984886
50.7,,,,,0.7508606213266162
50.9,,,,,0.75088161209068
51.0,0.911809642372114,0.6878362013124173,0.6277224110013911,0.6322486351717319,0.7731633081444165
51.1,,,,0.6322916218888364,0.7731685558354324
51.2,,,,,0.7731842989084803
51.3,,,0.6277452165385755,,0.7731947942905122
51.4,,,,0.6323346086059408,0.773215785054576
51.5,,,,,0.7732367758186398
51.6,,,,,0.7732420235096558
51.7,,,,,0.7732472712006717
51.8,,,,,0.7732682619647355
51.9,,,,,0.7733049958018472
52.0,0.9292949298325034,0.7093108401160334,0.65310497388766,0.6578687185659631,0.7931202770780856
52.1,,,,0.6579117052830675,
52.3,,,,,0.7931412678421494
52.4,,,,,0.7931570109151973
52.5,,,,,0.7931675062972292
52.6,,,,0.657954692000172,0.7931780016792611
52.7,,,,0.6579976787172763,0.7931832493702771
52.8,,,,,0.793188497061293
52.9,,,,,0.7932252308984047
53.0,0.9426210955183341,0.7294617962655251,0.6765490661132523,0.6817693332760177,0.810154282115869
53.1,,,0.6765718716504368,0.6818123199931221,0.810159529806885
53.2,,,,,0.810164777497901
53.3,,,,0.6818553067102265,0.8101752728799329
53.4,,,,,0.8101857682619648
53.5,,,,,0.8101910159529807
53.6,,,,0.681898293427331,0.8102015113350126
53.7,,,,0.6819412801444353,0.8102067590260286
53.8,,,,,0.8102120067170445
54.0,0.9531462200090539,0.7478243726589123,0.7010422130493283,0.7060998151571165,0.8266162888329135
54.2,,,0.7010650185865128,,0.8266320319059614
54.3,,,,,0.8266425272879933
54.4,,,,,0.8266530226700252
54.5,,,,,0.8266582703610411
54.6,,,,,0.826674013434089
54.7,,,,0.7061428018742208,
54.8,,,,,0.8266845088161209
54.9,,,,,0.8267002518891687
55.0,0.9617473970122227,0.7655673529163264,0.7200392255239573,0.7289257619395607,0.8407640638119227
55.1,,,0.7200620310611416,,0.8407693115029387
55.2,,,,,0.8407798068849706
55.3,,,,,0.8407850545759865
55.4,,,,,0.8407955499580184
55.5,,,,,0.8408007976490344
55.6,,,,,0.8408060453400503
55.7,,,,,0.8408112930310663
55.8,,,,,0.8408270361041142
55.9,,,,,0.8408322837951302
56.0,0.9689622000905387,0.7808319486298476,0.7394467376679058,0.7505910673601857,0.8531433669185559
56.1,,,0.7394695432050902,,0.8531591099916037
56.4,,,,,0.8531696053736356
56.5,,,,0.7506340540772901,
56.6,,,,,0.8531801007556675
56.7,,,,,0.8531853484466835
57.0,0.9741681756450883,0.7953220491734024,0.7562544185728295,0.7713536517216181,0.8642999580184719
57.4,,,,,0.8643104534005038
57.9,,,0.7562772241100139,,0.8643157010915198
58.0,0.9784404708012675,0.809713577604416,0.772834044105909,0.7897519666423075,0.8742443324937028
58.2,,,,,0.8742495801847188
58.4,,,,,0.8742600755667507
58.5,,,,,0.8742705709487826
58.6,,,,,0.8742863140218304
58.8,,,,0.789794953359412,
58.9,,,,,0.8742915617128464
59.0,0.98152444545043,0.8228095868420312,0.7873839768295742,0.806903666766969,0.8840050377833754
59.1,,,0.7874067823667587,,0.8840102854743913
59.2,,,,0.8069896402011778,
59.3,,,,,0.8840155331654073
59.4,,,,,0.8840207808564232
59.5,,,,,0.8840260285474392
59.7,,,0.7874295879039431,,0.8840365239294711
59.8,,,,,0.8840522670025189
60.0,0.9843820733363513,0.835229673022221,0.8018882984788707,0.8238834200232128,0.8922806465155332
60.2,,,,,0.8922858942065491
60.6,,,,,0.8922911418975651
60.9,,,,,0.892301637279597
61.0,0.9869001810774106,0.8449179035119836,0.8144085383931219,0.8375961827795211,0.8999370277078086
61.1,,,,0.8376391694966255,
61.2,,,,,0.8999475230898405
61.5,,,,0.83768215621373,
61.7,,,,0.8377251429308343,0.8999527707808564
61.8,,,0.8144313439303063,,0.8999580184718724
62.0,0.9885129017655048,0.855098994564452,0.8257656959109672,0.8513519322529338,0.9068272460117548
62.1,,,,,0.9068324937027707
62.8,,,,,0.9068377413937867
63.0,0.9904651425984609,0.8650547779311122,0.8358457433464845,0.8633452263250656,0.9132609151973132
63.1,,,,,0.9132661628883292
63.2,,,0.8358685488836689,,0.9132714105793451
63.3,,,0.8358913544208534,,
63.5,,,0.8359141599580379,,
64.0,0.9915968764146673,0.8740670853634495,0.8459485963191863,0.8750376133774663,0.9195214105793451
64.3,,,,,0.9195266582703611
64.4,,,,,0.919531905961377
64.6,,,,,0.919537153652393
64.7,,,,0.8750806000945708,0.9195424013434089
64.9,,,,,0.9195476490344249
65.0,0.9926437301946582,0.8824738783901765,0.8561198659034414,0.8865580535614496,0.9248373215785055
65.9,,,,0.8866440269956584,0.9248478169605374
66.0,0.9938037573562698,0.890500464697102,0.8653333029259505,0.8967029187980914,0.9299170864819479
66.2,,,,0.8967459055151958,0.9299275818639798
66.5,,,,,0.9299380772460117
66.6,,,,0.8968318789494046,
67.0,0.9943979176097781,0.8980201087109584,0.8732468243289471,0.9056871426729141,0.9348184298908481
67.2,,,,,0.934823677581864
67.5,,,,,0.9348341729638959
67.7,,,,,0.9348394206549119
67.8,,,,,0.9348446683459278
68.0,0.9949354911724763,0.9047793392852114,0.8820041506077676,0.9143274728109014,0.9389221242653233
68.1,,,,,0.9389273719563392
68.6,,,,,0.9389326196473552
69.0,0.9954447713897692,0.911355507364745,0.8893931446555223,0.9216782014357564,0.9428106633081444
70.0,0.9959540516070621,0.9177908581406483,0.8967365276289083,0.9291149034948201,0.9466729638958858
70.5,,,,,0.9466782115869018
71.0,0.9963784517881394,0.9239868195003802,0.9037150220073434,0.9361217383828397,0.9499475230898404
72.0,0.997000905387053,0.929140732813248,0.9104882665511186,0.9424407857971887,0.9530016792611251
72.4,,,,,0.953012174643157
72.9,,,,,0.953017422334173
73.0,0.9973404255319149,0.9340834201706706,0.9163264840703322,0.9479430855865537,0.955914147774979
73.5,,,,,0.9559193954659949
73.9,,,,,0.9559246431570109
74.0,0.9975667722951562,0.9387585546511955,0.9222331182010992,0.9535743455272321,0.9589158270361041
74.1,,,,,0.9589210747271201
74.3,,,,,0.958926322418136
74.5,,,,,0.958931570109152
74.7,,,,,0.9589368178001679
75.0,0.9978214124038026,0.942645112231391,0.9272731419188579,0.9577010703692559,0.9617863140218303
75.6,,,0.9272959474560424,,
76.0,0.998076052512449,0.9465316698115864,0.9323131656366166,0.9616558483428621,0.9639955919395466
76.0001,,0.9465457515419494,,,
76.6,,,0.932335971173801,,
76.8,,,,,0.9640008396305626
77.0,0.9981326392032593,0.9503196552792407,0.9371479395197154,0.9647508919743799,0.9664987405541562
77.8,,,0.9371707450568998,,0.9665039882451721
78.0,0.9983306926210955,0.9540935590165319,0.9417546580309699,0.9679319090401066,0.9687867338371117
78.4,,,,,0.9687919815281276
79.0,0.9985004526935265,0.9576844002591038,0.9456544048895071,0.970253191763745,0.9709592779177162
79.7,,,,,0.9709645256087321
79.9,,,,0.9702961784808494,
80.0,0.9986136260751471,0.9606838088264286,0.949850623731442,0.9727894080729055,0.9727854743912678
80.0002,,0.9606978905567917,,,
80.5,,,,,0.9727907220822838
80.7,,,,,0.9727959697732997
81.0,0.9987833861475781,0.9637817895062946,0.9535223152181349,0.9750247173623351,0.9744280016792611
81.3,,,,0.9750677040794394,
81.4,,,,,0.9744332493702771
82.0,0.9988682661837935,0.9665981355789,0.9566466738124016,0.9773460000859734,0.9761439966414778
82.1,,,,0.9773889868030778,
82.3,,,0.9566694793495861,,
82.8,,,,,0.9761492443324937
83.0,0.9988965595291988,0.9693722364604163,0.9596341991835617,0.9791514422043589,0.9779439546599497
84.0,0.99912290629244,0.9718647027346721,0.9628269743893817,0.9805270171517001,0.9792191435768262
84.7,,,,,0.9792243912678421
85.0,0.9992643730194658,0.9743430872785648,0.9656776665374353,0.9822464858358767,0.9807567170445004
85.0001,,0.9743571690089278,,,
86.0,0.9993775464010864,0.976539837215197,0.9684143309995666,0.9841808881055754,0.9821683459277918
87.0,0.9994058397464917,0.9784408708142056,0.9703984127346119,0.9853415294673946,0.9833438287153652
87.6,,,,,0.9833490764063811
88.0,,0.9803559861435773,0.9727929941389769,0.9868030778489447,0.9846872376154492
88.1,,,,,0.9846924853064651
88.6,,,,,0.9846977329974811
89.0,,0.9820035485960514,0.9748454924855755,0.987662812191033,0.9858679680940386
89.0002,,0.9820317120567775,,,
90.0,0.9994341330918968,0.9834680485538063,0.9769892129809118,0.9886515066844345,0.9869594878253568
91.0,0.999462426437302,0.9850874475455544,0.9787680448812972,0.9895972144607317,0.9878725860621327
91.7,,,,0.989640201177836,
92.0,0.9994907197827071,0.9863829667389529,0.9802047937239161,0.9907148691054464,0.9888696473551637
93.0,0.9995190131281123,0.9876080772805362,0.9817327647152728,0.9916175901646391,0.9896987825356843
93.9,,,,,0.9897040302267003
94.0,0.9996038931643277,0.9887909426310305,0.9831923190950763,0.9922194042041009,0.9904964315701091
94.0001,,0.9888050243613935,,,
94.5,,,,,0.9905016792611251
94.6,,,,,0.990506926952141
95.0,,0.9899174810600727,0.9845834568633264,0.9928212182435627,0.9912520990764064
95.3,,,,,0.9912573467674224
96.0,,0.9910581012194779,0.9857693447969167,0.9933370588488157,0.9918345927791772
96.6,,,,,0.9918398404701931
96.8,,,,,0.9918450881612091
97.0,,0.9918185146590813,0.9868868161189537,0.9938528994540687,0.9924800587741394
98.0,,0.9925085194468697,0.9883235649615727,0.9941108197566951,0.9931780016792612
98.7,,,,,0.9931832493702771
99.0,0.999632186509733,0.993170360773932,0.989349814134872,0.9946696470790526,0.9937132661628884
100.0,,0.9938040386402681,0.9980159182649547,0.9951854876843056,0.9941488245172124
100.6,,,,,0.9941540722082284
101.0,,0.9943250626637001,0.9981755570252457,0.9954863947040364,0.9945948782535684
101.4,,,,,0.9946001259445844
102.0,,0.9951136395640297,0.9982895847111679,0.9957873017237674,0.9950304366078925
102.2,,,,0.9958302884408717,
103.0,0.9996604798551381,0.9956769087785508,0.9984492234714589,0.9962601556119159,0.9955027287993283
104.0,0.9996887732005433,0.9961979328019827,0.9985176400830121,0.9963891157632292,0.9958123425692695
105.0,0.9997170665459484,0.9967048750950517,0.9989053342151475,0.996775996217169,0.9961481947942905
106.0,,0.9971273270059425,0.9990193619010695,0.996990929802691,0.9965470193115029
106.3,,,,,0.9965522670025189
106.4,,,,,0.9965575146935348
107.0,0.9997453598913536,0.9973244712310249,0.999042167438254,0.9973348235395263,0.9968408900083963
107.8,,,,,0.9968461376994122
108.0,,0.9974793702650182,0.9991105840498073,0.997506770407944,0.9970088161209067
109.0,,0.9977328414115526,0.9991333895869917,0.9977646907105704,0.9971347607052897
109.6,,,,,0.9971400083963057
110.0,,0.9979863125580871,,0.9979366375789881,0.997323677581864
111.0,,0.9981975385135325,,0.9980655977303013,0.9975703190596138
111.2,,,,,0.9975755667506297
112.0,,0.9984510096600671,0.9991790006613606,0.9981945578816146,0.9977907220822838
113.0,0.9997736532367587,0.99846509139043,0.9992474172729139,0.9983665047500322,0.9979219143576826
114.0,,0.9985214183118821,0.9992930283472827,0.9985384516184499,0.9980950881612091
115.0,0.999830239927569,0.9986199904244234,,0.9985814383355543,0.9982262804366079
116.0,0.9998585332729742,0.9987185625369646,0.9993386394216516,0.9987103984868676,0.9983154911838791
117.0,,0.9988171346495057,0.999361444958836,0.9987963719210764,0.9984624265323258
117.5,,,,,0.9984676742233417
118.0,,0.9989720336834991,0.9994070560332049,0.9988823453552852,0.9986198572628043
119.0,,0.9990424423353141,,0.9990113055065984,0.9987510495382032
120.0,,0.9991832596389444,0.9994298615703893,0.9992262390921205,0.9988087741393786
120.1,,,,,0.9988140218303946
121.0,0.9998868266183794,0.9991973413693075,0.9994754726447581,0.999269225809225,0.998882241813602
122.0,,0.9992536682907596,0.9995438892563114,0.9993981859605382,0.9990291771620488
123.0,0.9999151199637846,0.9992959134818487,0.9995895003306803,0.9994411726776427,0.9990711586901764
124.0,,0.9993522404033007,0.9996123058678648,0.9995271461118514,0.9991708648194795
125.0,,0.9993663221336638,,0.9996131195460602,0.9992390848026869
126.0,,0.9993804038640268,0.9996579169422336,0.9996561062631647,0.9992968094038623
127.0,,0.999450812515842,,0.999699092980269,0.9993282955499581
128.0,,0.999478975976568,0.999680722479418,,0.9993755247691016
129.0,,0.999493057706931,,,0.9994070109151973
130.0,,0.9995353028980201,,,0.9994332493702771
131.0,,0.9995634663587462,,0.9997420796973735,0.9995067170445004
132.0,,0.9995775480891091,0.9997035280166024,0.999785066414478,0.9995434508816121
133.0,,,0.9997263335537868,,0.9995801847187238
134.0,,0.9996057115498352,,,0.9996274139378674
135.0,,0.9996338750105613,,,0.9996379093198993
136.0,0.9999434133091897,0.9996479567409243,0.9997491390909713,,0.9996903862300588
137.0,,0.9996620384712873,0.9997719446281557,0.9998280531315823,0.9997271200671705
138.0,,0.9996902019320134,,,0.9997376154492024
139.0,,0.9997183653927395,0.9997947501653401,,0.9997638539042821
140.0,,,,0.9998710398486867,0.9997848446683459
141.0,0.9999717066545949,,,,0.9998110831234257
141.2,,,,,0.9998163308144417
142.0,,0.9997465288534655,0.9998175557025246,,0.999884550797649
143.0,,,0.999840361239709,,0.999895046179681
143.5,,,,,0.9999002938706969
144.0,,,0.9998631667768935,,
146.0,,0.9997606105838286,,,0.9999212846347607
147.0,,0.9997887740445546,,,0.9999422753988245
148.0,,0.9998028557749177,,,0.9999632661628883
150.0,,,,,0.9999842569269521
152.0,,,0.9998859723140778,,
153.0,,0.9998451009660067,0.9999087778512623,,
154.0,,0.9998591826963698,,,
155.0,,,0.9999315833884467,,0.9999895046179681
156.0,,,0.9999543889256312,,
157.0,,0.9998873461570957,,,
161.0,,,0.9999771944628155,,
162.0,,0.9999014278874588,,,
164.0,,,,0.9999140265657912,
166.0,,0.9999155096178218,,,
168.0,,0.9999295913481848,,,
174.0,,0.9999577548089109,,,
177.0,,,,,0.999994752308984
179.0,,,,0.9999570132828955,
189.0,,0.9999718365392739,,,
192.0,1.0,,,,
193.0,,,1.0,,
217.0,,,,1.0,
222.0,,0.999985918269637,,,
243.0,,1.0,,,
250.0,,,,,1.0
