value,emory_probability,mimic_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability,upenn_probability
61.8995,,,,,0.08061231193745483,,
63.5,,0.11583945449514918,,,,,
63.7,0.09032162307191706,,,,,,
64.1,,,,,,0.08653561927283476,
64.19999999999999,,,,0.09192039882987928,,,
64.29,,,0.07931034482758621,,,,
64.35,,,,,,,0.07764000743912745
65.4,,,,,0.08156494317061953,,
66.35,0.09019603365796294,,,,,,
66.5,,0.11417491498799567,,,,,
66.87,,,,,,0.08377672677111045,
66.9,,,,0.08730583824317087,,,
67.14,,,0.07241379310344828,,,,
67.25,,,,,,,0.07750111233788705
68.4,,,,,0.08002102358583536,,
69.25,0.08808384805964356,,,,,,
69.5,,0.10025615165606062,,,,,
69.7,,,,0.08965431997033496,,,
69.77,,,,,,0.08616612474135382,
70.2,,,,,,,0.07623457734691523
70.49,,,0.08275862068965517,,,,
71.15,,,,,0.0813349977005453,,
72.9,0.08651968899494217,,,,,,
73.0,,0.10310773542300723,,,,,
73.1,,,,0.088047464051749,,,
73.15,,,,,,0.08601832692876145,
73.35,,,,,,,0.07498687559000991
73.5,,,0.06896551724137931,,,,
73.75,,,,,0.07791866500229945,,
75.4995,,0.041997268905687994,,,,,
75.6995,,,0.04482758620689655,,,,
75.7495,0.023884823090184616,,,,,,
75.8495,,,,,,0.03497881564686176,
76.2995,,,,,0.08484987845739439,,
76.4495,,,,0.056528367187178116,,,
76.5495,,,,,,,0.061448134450458
77.0,,0.03266603000633685,,,,,
77.55,0.024170253576443992,,,,,,
77.85,,,,,,0.034018129865011335,
78.05,,,0.03793103448275862,,,,
79.0,,0.024428121346268844,,,,,
79.05,,,,,0.07900269364693516,,
79.65,,,,0.05619875571669894,,,
80.0,0.023005697192505736,,,,,,
80.1,,,,,,,0.05993205910810512
80.55,,,,,,0.03505271455315795,
81.55,,,0.03793103448275862,,,,
82.0,,0.030448131520933928,,,,,
82.15,,,,,0.08176203928782604,,
83.7,,,,0.055910345680029665,,,
84.05000000000001,0.02373639923732974,,,,,,
84.4995,,0.010433494283444748,,,,,
84.65,,,,,,,0.0595530402725169
84.85,,,,,,0.033771800177357376,
85.5,,0.0038690502753407174,,,,,
86.44999999999999,,,,,0.07995532488009986,,
86.89,,,0.041379310344827586,,,,
87.0,,0.00564961666503039,,,,,
87.5995,0.004875152705310149,,,,,,
88.5495,,,,,,0.007069662035668538,
89.13,,,,0.05492151126859215,,,
89.8,0.004772397730256773,,,,,,
90.0,,0.005520202065278509,,,,,
90.0495,,,,,0.016720320609683988,,
90.4,,,,,,,0.060894908199754696
90.85,,,,,,0.006971130160606956,
91.93950000000001,,,0.010344827586206896,,,,
92.25,,,,,0.0165232244924775,,
92.65,0.0047381460719056485,,,,,,
92.9995,,,,0.011866012937250217,,,
93.19,,,0.010344827586206896,,,,
93.85,,,,,,0.006823332348014583,
94.2995,,,,,,,0.012804245010958589
94.30000000000001,,,,0.010877178525812698,,,
95.03999999999999,,,0.0034482758620689655,,,,
95.15,,,,,0.016588923198212997,,
95.35,,,,0.011165588562481975,,,
95.7,,,,,,,0.01177077129155965
95.80000000000001,0.004806649388607898,,,,,,
96.0,,0.00589505814731844,,,,,
96.25,,,,0.01120678999629187,,,
97.0,,,,,,0.006995763129372352,
97.1,,,,,,,0.01185552084485888
97.58,,,0.006896551724137931,,,,
97.94999999999999,,,,,0.016391827081006505,,
98.35,,,,0.010794775658192906,,,
98.4,,,,,,,0.01616362313756971
98.65,0.004635391096852273,,,,,,
99.09,,,0.010344827586206896,,,,
99.25,,,,,,0.0067740664104837915,
99.5,,,,,,,0.007695730270421699
99.55,,,,,0.01583338808225478,,
